GEO_SPATIAL_KEY,NODE_TYPE,NODE_DESC,NODE_TRANSPORT,LONGITUDE,LATITUDE
1,station,Ranggung,LRT,103.8973486,1.3840301
2,station,Cheng Lim,LRT,103.8937126,1.3963098
3,station,Farmway,LRT,103.8891666,1.3971908
4,station,Fernvale,LRT,103.8762969,1.3919165
5,station,Kupang,LRT,103.881246,1.3982038
6,station,Thanggam,LRT,103.8756446,1.3974337
7,station,Layar,LRT,103.8800735,1.3921138
8,station,Tongkang,LRT,103.8858069,1.3894453
9,station,Renjong,LRT,103.8904847,1.3867081
10,station,Ten Mile Junction,LRT,103.7603984,1.3797116
11,station,Bangkit,LRT,103.7726443,1.3800554
12,station,Fajar,LRT,103.7708003,1.3845503
13,station,Jelapang,LRT,103.7645153,1.3866832
14,station,Keat Hong,LRT,103.74903,1.3785993
15,station,Pending,LRT,103.7712587,1.3761841
16,station,Petir,LRT,103.7666339,1.3777556
17,station,Phoenix,LRT,103.758008,1.3786164
18,station,Segar,LRT,103.7695932,1.3877919
19,station,Senja,LRT,103.7623822,1.3826778
20,station,South View,LRT,103.745285,1.3802601
21,station,Teck Whye,LRT,103.7536471,1.3766705
22,station,Bakau,LRT,103.9054582,1.3880291
23,station,Compassvale,LRT,103.9004349,1.394518
24,station,Coral Edge,LRT,103.9126427,1.3938755
25,station,Cove,LRT,103.9058522,1.3994643
26,station,Damai,LRT,103.9085559,1.4052818
27,station,Kadaloor,LRT,103.9164448,1.399601
28,station,Kangkar,LRT,103.9022015,1.3839216
29,station,Meridian,LRT,103.9088744,1.3969762
30,station,Oasis,LRT,103.9126843,1.4023166
31,station,Riviera,LRT,103.9161044,1.3945492
32,station,Rumbia,LRT,103.9059369,1.3915095
33,station,Bukit Panjang,LRT,103.7630978,1.3779027
34,station,Choa Chu Kang,LRT;MRT,103.7445341,1.3847493
35,station,Aljunied,MRT,103.8828819,1.3164837
36,station,Kallang,MRT,103.8713388,1.3114481
37,station,Yio Chu Kang,MRT,103.8449654,1.3817798
38,station,Paya Lebar,MRT,103.8923182,1.3180497
39,station,Tampines,MRT,103.9450844,1.3533737
40,station,Tanah Merah,MRT,103.9465126,1.3272621
41,station,Bedok,MRT,103.9299947,1.3239349
42,station,Changi Airport,MRT,103.9885647,1.3573382
43,station,Expo,MRT,103.962238,1.33564
44,station,Lavender,MRT,103.8630305,1.3074447
45,station,Bugis,MRT,103.8560949,1.3005303
46,station,Tiong Bahru,MRT,103.8276424,1.2860952
47,station,Redhill,MRT,103.8167566,1.2896526
48,station,Queenstown,MRT,103.8060521,1.2945524
49,station,Commonwealth,MRT,103.7983085,1.3024428
50,station,Buona Vista,MRT,103.7908384,1.3071896
51,station,Dover,MRT,103.7786275,1.3114214
52,station,Clementi,MRT,103.7652311,1.3151003
53,station,Jurong East,MRT,103.7422968,1.333115
54,station,Chinese Garden,MRT,103.7325938,1.3424705
55,station,Lakeside,MRT,103.7208011,1.3443033
56,station,Raffles Place,MRT,103.8514705,1.2844089
57,station,Marina Bay,MRT,103.8547506,1.2751712
58,station,Dhoby Ghaut,MRT,103.8450197,1.2987856
59,station,Buangkok,MRT,103.89305,1.3830565
60,station,Hougang,MRT,103.8927535,1.3719039
61,station,Kovan,MRT,103.8848743,1.3599769
62,station,Potong Pasir,MRT,103.8690932,1.3312544
63,station,Serangoon,MRT,103.8737713,1.3498066
64,station,Boon Keng,MRT,103.8615207,1.3198244
65,station,Farrer Park,MRT,103.8541951,1.3128262
66,station,Little India,MRT,103.8492986,1.3065714
67,station,Chinatown,MRT,103.8440033,1.2850195
68,station,HarbourFront,MRT,103.8224827,1.2652845
69,station,Boon Lay,MRT,103.7057767,1.338472
70,station,Pioneer,MRT,103.6973541,1.337575
71,station,Joo Koon,MRT,103.6782851,1.3277203
72,station,Bartley,MRT,103.8804493,1.3424382
73,station,Bras Basah,MRT,103.8505497,1.2968963
74,station,Esplanade,MRT,103.8559742,1.293258
75,station,Promenade,MRT,103.8610839,1.2927806
76,station,Nicoll Highway,MRT,103.8635001,1.2996713
77,station,Stadium,MRT,103.8754023,1.3027775
78,station,Mountbatten,MRT,103.8824959,1.3062494
79,station,Dakota,MRT,103.8883198,1.3084379
80,station,MacPherson,MRT,103.8903059,1.3265672
81,station,Tai Seng,MRT,103.8884182,1.3358102
82,station,Telok Blangah,MRT,103.8098632,1.2705858
83,station,Labrador Park,MRT,103.8027822,1.2723277
84,station,Pasir Panjang,MRT,103.7916138,1.276177
85,station,Haw Par Villa,MRT,103.7817717,1.2826539
86,station,Kent Ridge,MRT,103.7844127,1.2933012
87,station,one-north,MRT,103.7872407,1.2996073
88,station,Holland Village,MRT,103.795744,1.3121173
89,station,Farrer Road,MRT,103.8077853,1.3176276
90,station,Caldecott,MRT,103.8399908,1.3376796
91,station,Kembangan,MRT,103.9127619,1.3210549
92,station,Bayfront,MRT,103.8597296,1.2825349
93,station,Simei,MRT,103.9533764,1.3431787
94,station,Ang Mo Kio,MRT,103.8495398,1.3700532
95,station,Bishan,MRT,103.8482628,1.3514551
96,station,Bukit Batok,MRT,103.7495906,1.3490572
97,station,Outram Park,MRT,103.8402413,1.2806848
98,station,Newton,MRT,103.8388638,1.3129596
99,station,Marina South Pier,MRT,103.8627228,1.2717504
100,station,Admiralty,MRT,103.8009592,1.4406369
101,station,Braddell,MRT,103.8468227,1.3406006
102,station,Bukit Gombak,MRT,103.7518249,1.3588929
103,station,City Hall,MRT,103.8525729,1.2930467
104,station,Clarke Quay,MRT,103.8468686,1.2889806
105,station,Downtown,MRT,103.8533448,1.2791912
106,station,Khatib,MRT,103.8329983,1.4173157
107,station,Kranji,MRT,103.7619891,1.4252189
108,station,Lorong Chuan,MRT,103.8633948,1.3514878
109,station,Marsiling,MRT,103.7742155,1.4325422
110,station,Novena,MRT,103.8434924,1.3200842
111,station,Orchard,MRT,103.8319823,1.3032227
112,station,Pasir Ris,MRT,103.949255,1.3730307
113,station,Sembawang,MRT,103.8200555,1.4490928
114,station,Somerset,MRT,103.8385037,1.3003276
115,station,Tanjong Pagar,MRT,103.8458843,1.2765741
116,station,Telok Ayer,MRT,103.848744,1.2821231
117,station,Toa Payoh,MRT,103.8473272,1.3322966
118,station,Woodlands,MRT,103.787675,1.4373881
119,station,Yew Tee,MRT,103.7474009,1.3974608
120,station,Yishun,MRT,103.8350282,1.4293839
